Date,Close
2021-05-10 00:00:00-04:00,209.67999267578125
2021-05-11 00:00:00-04:00,205.73333740234375
2021-05-12 00:00:00-04:00,196.6300048828125
2021-05-13 00:00:00-04:00,190.56333923339844
2021-05-14 00:00:00-04:00,196.5800018310547
2021-05-17 00:00:00-04:00,192.27667236328125
2021-05-18 00:00:00-04:00,192.6233367919922
2021-05-19 00:00:00-04:00,187.82000732421875
2021-05-20 00:00:00-04:00,195.5933380126953
2021-05-21 00:00:00-04:00,193.6266632080078
2021-05-24 00:00:00-04:00,202.14666748046875
2021-05-25 00:00:00-04:00,201.56333923339844
2021-05-26 00:00:00-04:00,206.3766632080078
2021-05-27 00:00:00-04:00,210.28334045410156
2021-05-28 00:00:00-04:00,208.4066619873047
2021-06-01 00:00:00-04:00,207.96665954589844
2021-06-02 00:00:00-04:00,201.7066650390625
2021-06-03 00:00:00-04:00,190.94667053222656
2021-06-04 00:00:00-04:00,199.68333435058594
2021-06-07 00:00:00-04:00,201.7100067138672
2021-06-08 00:00:00-04:00,201.19667053222656
2021-06-09 00:00:00-04:00,199.5933380126953
2021-06-10 00:00:00-04:00,203.3733367919922
2021-06-11 00:00:00-04:00,203.29666137695312
2021-06-14 00:00:00-04:00,205.89666748046875
2021-06-15 00:00:00-04:00,199.7866668701172
2021-06-16 00:00:00-04:00,201.6233367919922
2021-06-17 00:00:00-04:00,205.53334045410156
2021-06-18 00:00:00-04:00,207.77000427246094
2021-06-21 00:00:00-04:00,206.94332885742188
2021-06-22 00:00:00-04:00,207.90333557128906
2021-06-23 00:00:00-04:00,218.85667419433594
2021-06-24 00:00:00-04:00,226.60667419433594
2021-06-25 00:00:00-04:00,223.9566650390625
2021-06-28 00:00:00-04:00,229.57333374023438
2021-06-29 00:00:00-04:00,226.9199981689453
2021-06-30 00:00:00-04:00,226.56666564941406
2021-07-01 00:00:00-04:00,225.97332763671875
2021-07-02 00:00:00-04:00,226.3000030517578
2021-07-06 00:00:00-04:00,219.86000061035156
2021-07-07 00:00:00-04:00,214.88333129882812
2021-07-08 00:00:00-04:00,217.60333251953125
2021-07-09 00:00:00-04:00,218.98333740234375
2021-07-12 00:00:00-04:00,228.56666564941406
2021-07-13 00:00:00-04:00,222.84666442871094
2021-07-14 00:00:00-04:00,217.7933349609375
2021-07-15 00:00:00-04:00,216.86666870117188
